,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
111,Alessia Cara,Know-It-All (Deluxe),Here,664gdARxaClFsoF5SXKOws,2016-03-11,0.376,0.822,0,-3.974,1,0.104,0.0,0.0841,0.327,120.493,199453,4
112,Bazzi,COSMIC,Mine,7uzmGiiJyRfuViKKK3lVmR,2018-04-12,0.71,0.789,4,-3.874,1,0.0722,2.77e-06,0.451,0.717,142.929,131064,4
113,Imagine Dragons,Night Visions,Radioactive,4G8gkOterJn0Ywt6uhqbhp,2012-09-04,0.448,0.784,9,-3.686,1,0.0627,0.000108,0.668,0.236,136.245,186813,4
114,The Chainsmokers,Don't Let Me Down,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,2016-02-05,0.532,0.869,11,-5.094,1,0.172,0.00508,0.136,0.422,159.803,208373,4
115,Jeremih,Don't Tell 'Em,Don't Tell 'Em,5rph5sObvxskRcb1JLV70r,2014-05-27,0.854,0.537,2,-5.223,1,0.0761,1.19e-06,0.133,0.341,98.037,268453,4
116,LMFAO,Sorry For Party Rocking,Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P,2011-01-01,0.75,0.727,5,-4.21,0,0.142,0.0,0.266,0.359,129.993,262173,4
117,DNCE,SWAAY,Cake By The Ocean,42ftjU4cTN5UTRksyqBKZJ,2015-10-23,0.771,0.76,4,-5.459,0,0.0514,0.0,0.053,0.881,119.0,218440,4
118,Eminem,The Eminem Show,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,2002-05-26,0.908,0.669,7,-2.827,1,0.0738,0.0,0.237,0.662,112.238,290320,4
119,Rihanna,Unapologetic (Deluxe),Stay,0GNI8K3VATWBABQFAzBAYe,2012-12-11,0.621,0.31,9,-10.164,0,0.0283,6.12e-05,0.117,0.125,111.893,240707,4
120,Miley Cyrus,The Time Of Our Lives,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,2009-01-01,0.652,0.698,10,-4.667,0,0.042,0.000115,0.0886,0.47,96.021,202067,4
121,TOTO,Toto IV,Africa,2374M0fQpWi3dLnB54qaLX,1982-04-08,0.671,0.373,9,-18.064,1,0.0323,8.01e-05,0.0481,0.732,92.718,295893,4
122,David Guetta,Nothing but the Beat Ultimate,Titanium (feat. Sia),2dOTkLZFbpNXrhc24CnTFd,2011-08-24,0.604,0.787,0,-3.674,0,0.103,0.15,0.127,0.301,126.062,245040,4
123,fun.,We Are Young (feat. Janelle Monáe),We Are Young (feat. Janelle Monáe),3ehrxAhYms24KLPG8FZe0W,2011-09-20,0.378,0.638,10,-5.576,1,0.075,7.66e-05,0.0849,0.735,184.086,250627,4
124,Neon Trees,Picture Show,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,2012-01-01,0.471,0.924,8,-3.906,1,0.0586,0.0,0.313,0.725,154.961,177280,4
125,Adele,21,Someone Like You,4kflIGfjdZJW4ot2ioixTB,2011-01-19,0.559,0.33,9,-8.251,1,0.0285,0.0,0.0975,0.285,135.109,285040,4
126,Avril Lavigne,Let Go,Complicated,5xEM5hIgJ1jjgcEBfpkt2F,2002-06-04,0.585,0.776,5,-5.898,1,0.0459,7.74e-06,0.3,0.427,77.987,244507,4
127,Justin Bieber,Believe (Deluxe Edition),As Long As You Love Me,0pwYLVXVknPSGUQb39cePC,2012-06-15,0.571,0.873,0,-3.382,0,0.1,0.0,0.361,0.613,139.691,229467,4
